MAG,MG,Sample,Participant,Timepoint,Project,CST,subCST,Geography,FinalTaxonomy,KeptCleaned,GC,N50,Size,Complete,Contam,N_BGC,BGC_detection,classification,Coverage
MAG00859,MG0110,MG_1062201379,10622,37,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,0,0.323,211703,1207720,99.41,0.442,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,159.77968
MAG00860,MG0111,MG_1062501159,10625,3,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,1,0.325,145939,1246995,99.56,0.44,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,880.0014
MAG00861,MG0112,MG_1062501199,10625,8,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,0,0.324,211145,1127066,91.59,0.442,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,667.4427
MAG00040,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Atopobium_deltae,0,0.522,8311,1219052,93.27,1.612,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium deltae,10.519758
MAG00864,MG0113,MG_1062501239,10625,10,Gates-Stanford,III,III-A,NorthAmer,Lactobacillus_iners,1,0.324,136071,1224656,99.56,0.44,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,292.18582
MAG00042,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Bacteroides_sp013333195,1,0.557,1438,1797097,71.61,9.074,0,FALSE,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__CAJPTX01;g__Bacteroides_D;s__,6.6025424
MAG00043,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Porphyromonas_sp001808555,0,0.576,2194,1475149,76.06,5.555,0,FALSE,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555,7.617742
MAG00865,MG0114,MG_1062501279,10625,15,Gates-Stanford,III,III-B,NorthAmer,Lactobacillus_iners,0,0.328,97154,1421216,99.55,2.128,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,193.08401
MAG00045,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis_D,0,0.431,27765,1228960,76.78,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_D,576.9594
MAG00866,MG0115,MG_1062501369,10625,21,Gates-Stanford,I,I-B,NorthAmer,Streptococcus_anginosus,0,0.394,9326,1645702,84.47,1.119,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus,12.173211
MAG00048,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Propionimicrobium_lymphophilum,0,0.565,51472,2104062,98.12,0.22,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Propionimicrobium;s__Propionimicrobium lymphophilum,17.055506
MAG00049,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_massiliense,0,0.491,66890,1392001,100,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__,54.36941
MAG00050,MG2131,MG_0277RFLQV1,P716,0,XPENN,IV-B,IV-B,NorthAmer,Aerococcus_christensenii,0,0.392,48748,1403882,97.16,0,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii,26.977032
MAG00867,MG0115,MG_1062501369,10625,21,Gates-Stanford,I,I-B,NorthAmer,Actinobaculum_massiliense,0,0.602,6224,1754861,90.98,1.391,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum massiliense,8.111525
MAG00868,MG0115,MG_1062501369,10625,21,Gates-Stanford,I,I-B,NorthAmer,Corynebacterium_riegelii,0,0.608,22414,2163718,92.32,0.925,3,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium riegelii,12.968032
MAG00869,MG0115,MG_1062501369,10625,21,Gates-Stanford,I,I-B,NorthAmer,Lactobacillus_crispatus,1,0.368,24439,1976652,99.03,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,97.557816
MAG00876,MG0121,MG_1063101119,10631,12,Gates-Stanford,V,V,NorthAmer,Lactobacillus_jensenii,0,0.34,31785,1626280,98.83,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,58.30949
MAG00877,MG0122,MG_1063101199,10631,20,Gates-Stanford,V,V,NorthAmer,Lactobacillus_jensenii,0,0.34,40217,1606216,98.83,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,116.28636
MAG00878,MG0124,MG_1063101369,10631,37,Gates-Stanford,V,V,NorthAmer,Lactobacillus_jensenii,0,0.34,31085,1640498,98.83,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,58.219116
MAG00880,MG0125,MG_1063201159,10632,5,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.366,24634,2237043,99.03,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,358.44748
MAG00059,MG2135,MG_0295RFLQV1,P720,0,XPENN,IV-B,IV-B,NorthAmer,Aerococcus_christensenii,0,0.391,5732,1257662,82.22,1.923,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii,17.48018
MAG00060,MG2135,MG_0295RFLQV1,P720,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_vaginae,0,0.431,6765,1060817,80.1,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__,26.529558
MAG00881,MG0126,MG_1063201209,10632,10,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.367,31903,2244428,99.03,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,133.00162
MAG00882,MG0127,MG_1063201249,10632,15,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.367,31572,2268697,99.03,0.09,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,668.2833
MAG00883,MG0128,MG_1063201329,10632,24,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.367,24634,2264481,99.03,0.09,4,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,72.98343
MAG00884,MG0129,MG_1063201369,10632,29,Gates-Stanford,I,I-A,NorthAmer,Lactobacillus_crispatus,1,0.368,24340,2303961,99.03,0.09,4,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,172.4801
MAG00886,MG0131,MG_1063601179,10636,17,Gates-Stanford,III,III-B,NorthAmer,Lactobacillus_iners,1,0.327,17472,1306031,97.99,0.86,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,44.35105
MAG00887,MG0132,MG_1063601319,10636,32,Gates-Stanford,V,V,NorthAmer,Lactobacillus_jensenii,0,0.344,65464,1584573,98.83,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,61.35378
MAG00888,MG0132,MG_1063601319,10636,32,Gates-Stanford,V,V,NorthAmer,Lactobacillus_iners,0,0.325,98984,1338082,99.41,0.796,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,50.239506
MAG00890,MG0133,MG_1063601359,10636,35,Gates-Stanford,V,V,NorthAmer,Lactobacillus_iners,0,0.324,10783,1320958,96.25,2.566,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,17.815031
MAG02769,MG0135,MG_2009001209,20090,10,Gates-Stanford,II,II,NorthAmer,Limosilactobacillus_oris,0,0.478,2367,3615916,95.81,0.897,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris,14.421419
MAG00074,MG2141,MG_0345RFLQV1,P726,0,XPENN,III,III-A,NorthAmer,Lactobacillus_gasseri,0,0.348,47837,1950018,99.22,0.193,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri,155.20448
MAG00075,MG2141,MG_0345RFLQV1,P726,0,XPENN,III,III-A,NorthAmer,Lactobacillus_iners,0,0.325,179328,1316751,99.41,0.442,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,1313.1653
MAG02772,MG0136,MG_2009001269,20090,17,Gates-Stanford,II,II,NorthAmer,Limosilactobacillus_oris,1,0.499,33478,2110814,99.45,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris,22.787773
MAG00077,MG2142,MG_0350RFLQV1,P727,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_spNov3,0,0.499,10050,1443168,97.58,0.268,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__,63.805202
MAG00078,MG2142,MG_0350RFLQV1,P727,0,XPENN,IV-B,IV-B,NorthAmer,Gardnerella_piotii,0,0.427,36529,1041150,71.78,0.454,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii,544.4865
MAG00079,MG2142,MG_0350RFLQV1,P727,0,XPENN,IV-B,IV-B,NorthAmer,Aerococcus_christensenii,0,0.389,31941,1499099,97.76,0,0,FALSE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus;s__Aerococcus christensenii,89.29259
MAG02775,MG0137,MG_2009001309,20090,22,Gates-Stanford,II,II,NorthAmer,Limosilactobacillus_oris,1,0.496,40495,2162695,99.45,0,1,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris,26.60436
MAG13796,MG0139,MG_4001201139,40012,14,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis_F,0,0.396,11310,1281586,72.1,5.263,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_F,275.85968
MAG13799,MG0139,MG_4001201139,40012,14,Gates-Stanford,IV-B,IV-B,NorthAmer,Megasphaera_lornae,0,0.478,2694,1220637,85.48,2.719,1,TRUE,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,61.4972
MAG00084,MG2142,MG_0350RFLQV1,P727,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_vaginae,0,0.43,13624,1298808,92.74,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae,35.466084
MAG13802,MG0139,MG_4001201139,40012,14,Gates-Stanford,IV-B,IV-B,NorthAmer,Lactobacillus_iners,1,0.334,5249,1346651,83.58,1.25,2,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,259.2587
MAG13805,MG0140,MG_4001201189,40012,18,Gates-Stanford,IV-B,IV-B,NorthAmer,Gardnerella_vaginalis,0,0.416,18320,1546511,97.64,1.161,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,54.48196
MAG00088,MG2145,MG_0383RFLQV1,P730,0,XPENN,IV-B,IV-B,NorthAmer,Fannyhessea_vaginae,0,0.428,7478,1027240,72.77,0,0,FALSE,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae,23.947454
MAG13806,MG0140,MG_4001201189,40012,18,Gates-Stanford,IV-B,IV-B,NorthAmer,Pseudoglutamicibacter_albus,0,0.6,79746,2150047,95.56,0.573,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter albus_A,46.45827
MAG13809,MG0140,MG_4001201189,40012,18,Gates-Stanford,IV-B,IV-B,NorthAmer,Lactobacillus_iners,0,0.327,7680,1529418,92.8,7.661,3,TRUE,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,211.58572
MAG13810,MG0140,MG_4001201189,40012,18,Gates-Stanford,IV-B,IV-B,NorthAmer,Corynebacterium_tuscaniense,1,0.594,10604,1952091,89.32,0.67,2,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuscaniense,28.61415
MAG13813,MG0141,MG_4001201299,40012,29,Gates-Stanford,IV-B,IV-B,NorthAmer,UBA629_sp005465875,0,0.313,13547,1555656,72.9,0.241,4,TRUE,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,340.3801
MAG13815,MG0141,MG_4001201299,40012,29,Gates-Stanford,IV-B,IV-B,NorthAmer,Corynebacterium_sp900539985,0,0.599,1569,1784426,71.73,9.054,1,TRUE,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp900539985,332.0128
