MAG,Description,GBK,Class,Category,Family
MAG00023,MAG00023_0002,MAG00023_0002.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG00023,MAG00023_0008,MAG00023_0008.region001,T3PKS,PKS,FAM_00011
MAG00023,MAG00023_0154,MAG00023_0154.region001,NRPS-like,NRPS,FAM_00005
MAG00025,MAG00025_0004,MAG00025_0004.region001,ranthipeptide,RiPP,FAM_00135
MAG00025,MAG00025_0015,MAG00025_0015.region001,LAP.thiopeptide,RiPP,FAM_00032
MAG00026,MAG00026_0005,MAG00026_0005.region001,arylpolyene,PKS,FAM_00018
MAG00026,MAG00026_0029,MAG00026_0029.region001,RRE-containing,RiPP,FAM_00039
MAG00027,MAG00027_0003,MAG00027_0003.region001,ranthipeptide,RiPP,FAM_00128
MAG00027,MAG00027_0013,MAG00027_0013.region001,RiPP-like,RiPP,FAM_00007
MAG00028,MAG00028_0001,MAG00028_0001.region001,RRE-containing,RiPP,FAM_00044
MAG00031,MAG00031_0008,MAG00031_0008.region001,ranthipeptide,RiPP,FAM_00106
MAG00032,MAG00032_0030,MAG00032_0030.region001,T3PKS,PKS,FAM_00084
MAG00035,MAG00035_0032,MAG00035_0032.region001,ranthipeptide,RiPP,FAM_00122
MAG00035,MAG00035_0050,MAG00035_0050.region001,RRE-containing,RiPP,FAM_00213
MAG00035,MAG00035_0051,MAG00035_0051.region001,lanthipeptide-class-iii,RiPP,FAM_00428
MAG00035,MAG00035_0089,MAG00035_0089.region001,RRE-containing,RiPP,FAM_00449
MAG00037,MAG00037_0020,MAG00037_0020.region001,ranthipeptide,RiPP,FAM_00152
MAG00038,MAG00038_0002,MAG00038_0002.region001,ranthipeptide,RiPP,FAM_00112
MAG00038,MAG00038_0004,MAG00038_0004.region001,RaS-RiPP,RiPP,FAM_00226
MAG00039,MAG00039_0431,MAG00039_0431.region001,RRE-containing,RiPP,FAM_00057
MAG00041,MAG00041_0002,MAG00041_0002.region001,T3PKS,PKS,FAM_00077
MAG00044,MAG00044_0002,MAG00044_0002.region001,NRPS,NRPS,FAM_00349
MAG00044,MAG00044_0005,MAG00044_0005.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00046,MAG00046_0061,MAG00046_0061.region001,ranthipeptide,RiPP,FAM_00134
MAG00051,MAG00051_0109,MAG00051_0109.region001,RiPP-like,RiPP,FAM_00429
MAG00052,MAG00052_0017,MAG00052_0017.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00053,MAG00053_0029,MAG00053_0029.region001,NRPS,NRPS,FAM_00165
MAG00054,MAG00054_0005,MAG00054_0005.region001,RiPP-like,RiPP,FAM_00240
MAG00054,MAG00054_0008,MAG00054_0008.region001,RiPP-like,RiPP,FAM_00089
MAG00054,MAG00054_0026,MAG00054_0026.region001,RiPP-like,RiPP,FAM_00085
MAG00056,MAG00056_0074,MAG00056_0074.region001,ranthipeptide,RiPP,FAM_00136
MAG00057,MAG00057_0001,MAG00057_0001.region001,RiPP-like,RiPP,FAM_00524
MAG00057,MAG00057_0001,MAG00057_0001.region002,NRPS.NRPS-like,NRPS,FAM_00392
MAG00058,MAG00058_0018,MAG00058_0018.region001,ranthipeptide,RiPP,FAM_00106
MAG00061,MAG00061_0002,MAG00061_0002.region001,NRP-metallophore.NRPS,NRPS,FAM_00263
MAG00061,MAG00061_0011,MAG00061_0011.region001,ranthipeptide,RiPP,FAM_00121
MAG00061,MAG00061_0031,MAG00061_0031.region001,RiPP-like,RiPP,FAM_00183
MAG00061,MAG00061_0034,MAG00061_0034.region001,RiPP-like,RiPP,FAM_00183
MAG00061,MAG00061_0035,MAG00061_0035.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00061,MAG00061_0039,MAG00061_0039.region001,LAP,RiPP,FAM_00132
MAG00062,MAG00062_0018,MAG00062_0018.region001,RiPP-like,RiPP,FAM_00094
MAG00062,MAG00062_0113,MAG00062_0113.region001,RiPP-like,RiPP,FAM_00087
MAG00062,MAG00062_0125,MAG00062_0125.region001,RiPP-like,RiPP,FAM_00089
MAG00064,MAG00064_0010,MAG00064_0010.region001,RiPP-like,RiPP,FAM_00089
MAG00064,MAG00064_0055,MAG00064_0055.region001,lanthipeptide-class-i,RiPP,FAM_00319
MAG00065,MAG00065_0003,MAG00065_0003.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00065,MAG00065_0007,MAG00065_0007.region001,RiPP-like,RiPP,FAM_00195
MAG00068,MAG00068_0013,MAG00068_0013.region001,RiPP-like,RiPP,FAM_00240
MAG00068,MAG00068_0021,MAG00068_0021.region001,RiPP-like,RiPP,FAM_00094
MAG00068,MAG00068_0038,MAG00068_0038.region001,RiPP-like,RiPP,FAM_00097
MAG00068,MAG00068_0132,MAG00068_0132.region001,RiPP-like,RiPP,FAM_00087
MAG00070,MAG00070_0001,MAG00070_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00071,MAG00071_0039,MAG00071_0039.region001,RiPP-like,RiPP,FAM_00090
MAG00072,MAG00072_0013,MAG00072_0013.region001,NRPS,NRPS,FAM_00165
MAG00073,MAG00073_0002,MAG00073_0002.region001,RiPP-like,RiPP,FAM_00240
MAG00073,MAG00073_0036,MAG00073_0036.region001,RiPP-like,RiPP,FAM_00091
MAG00073,MAG00073_0088,MAG00073_0088.region001,RiPP-like,RiPP,FAM_00093
MAG00073,MAG00073_0108,MAG00073_0108.region001,RiPP-like,RiPP,FAM_00087
MAG00076,MAG00076_0021,MAG00076_0021.region001,T3PKS,PKS,FAM_00075
MAG00080,MAG00080_0001,MAG00080_0001.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00080,MAG00080_0009,MAG00080_0009.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00081,MAG00081_0006,MAG00081_0006.region002,ranthipeptide,RiPP,FAM_00106
MAG00083,MAG00083_0001,MAG00083_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00083,MAG00083_0018,MAG00083_0018.region001,RiPP-like,RiPP,FAM_00194
MAG00085,MAG00085_0008,MAG00085_0008.region001,RiPP-like,RiPP,FAM_00240
MAG00085,MAG00085_0023,MAG00085_0023.region001,RiPP-like,RiPP,FAM_00094
MAG00085,MAG00085_0031,MAG00085_0031.region001,RiPP-like,RiPP,FAM_00097
MAG00085,MAG00085_0105,MAG00085_0105.region001,RiPP-like,RiPP,FAM_00087
MAG00087,MAG00087_0010,MAG00087_0010.region001,T3PKS,PKS,FAM_00084
MAG00089,MAG00089_0016,MAG00089_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00090,MAG00090_0001,MAG00090_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00090,MAG00090_0005,MAG00090_0005.region001,RiPP-like,RiPP,FAM_00336
MAG00091,MAG00091_0006,MAG00091_0006.region001,T3PKS,PKS,FAM_00074
MAG00092,MAG00092_0003,MAG00092_0003.region001,LAP,RiPP,FAM_00132
MAG00092,MAG00092_0028,MAG00092_0028.region001,RiPP-like,RiPP,FAM_00182
MAG00093,MAG00093_0018,MAG00093_0018.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00096,MAG00096_0026,MAG00096_0026.region001,NRPS.NRPS-like,NRPS,FAM_00392
MAG00098,MAG00098_0059,MAG00098_0059.region001,T3PKS,PKS,FAM_00078
MAG00099,MAG00099_0019,MAG00099_0019.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00100,MAG00100_0002,MAG00100_0002.region001,RiPP-like,RiPP,FAM_00194
MAG00100,MAG00100_0002,MAG00100_0002.region002,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00101,MAG00101_0005,MAG00101_0005.region001,RRE-containing,RiPP,FAM_00346
MAG00102,MAG00102_0160,MAG00102_0160.region001,T3PKS,PKS,FAM_00187
MAG00103,MAG00103_0012,MAG00103_0012.region001,thiopeptide,RiPP,FAM_00341
MAG00103,MAG00103_0022,MAG00103_0022.region001,NRP-metallophore.NRPS,NRPS,FAM_00351
MAG00105,MAG00105_0025,MAG00105_0025.region001,opine-like-metallophore,other,FAM_00224
MAG00105,MAG00105_0037,MAG00105_0037.region001,NI-siderophore,other,FAM_00298
MAG00105,MAG00105_0044,MAG00105_0044.region001,NI-siderophore,other,FAM_00298
MAG00105,MAG00105_0059,MAG00105_0059.region001,NI-siderophore,other,FAM_00377
MAG00105,MAG00105_0081,MAG00105_0081.region001,NRPS-like,NRPS,FAM_00424
MAG00105,MAG00105_0100,MAG00105_0100.region001,LAP,RiPP,FAM_00295
MAG00105,MAG00105_0116,MAG00105_0116.region001,terpene,terpene,FAM_00425
MAG00105,MAG00105_0150,MAG00105_0150.region001,T3PKS,PKS,FAM_00425
MAG00105,MAG00105_0216,MAG00105_0216.region001,cyclic-lactone-autoinducer,RiPP,FAM_00435
MAG00105,MAG00105_0266,MAG00105_0266.region001,NRPS,NRPS,FAM_00544
MAG00106,MAG00106_0035,MAG00106_0035.region001,ranthipeptide,RiPP,FAM_00106
MAG00110,MAG00110_0007,MAG00110_0007.region001,NRP-metallophore.NRPS,NRPS,FAM_00351
MAG00110,MAG00110_0030,MAG00110_0030.region001,thiopeptide,RiPP,FAM_00341
MAG00111,MAG00111_0004,MAG00111_0004.region001,T3PKS,PKS,FAM_00506
MAG00111,MAG00111_0122,MAG00111_0122.region001,cyclic-lactone-autoinducer,RiPP,FAM_00463
MAG00112,MAG00112_0001,MAG00112_0001.region001,RiPP-like,RiPP,FAM_00169
MAG00112,MAG00112_0016,MAG00112_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00113,MAG00113_0010,MAG00113_0010.region001,ranthipeptide,RiPP,FAM_00106
MAG00114,MAG00114_0002,MAG00114_0002.region001,RiPP-like,RiPP,FAM_00194
MAG00114,MAG00114_0002,MAG00114_0002.region002,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00115,MAG00115_0004,MAG00115_0004.region001,T3PKS,PKS,FAM_00073
MAG00119,MAG00119_0032,MAG00119_0032.region001,resorcinol,other,FAM_00043
MAG00120,MAG00120_0001,MAG00120_0001.region001,ranthipeptide,RiPP,FAM_00112
MAG00120,MAG00120_0004,MAG00120_0004.region001,RaS-RiPP,RiPP,FAM_00226
MAG00121,MAG00121_0016,MAG00121_0016.region001,ranthipeptide,RiPP,FAM_00135
MAG00122,MAG00122_0003,MAG00122_0003.region001,ranthipeptide,RiPP,FAM_00123
MAG00123,MAG00123_0002,MAG00123_0002.region001,NRPS-like,NRPS,FAM_00001
MAG00123,MAG00123_0003,MAG00123_0003.region001,T3PKS,PKS,FAM_00011
MAG00123,MAG00123_0007,MAG00123_0007.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG00126,MAG00126_0007,MAG00126_0007.region001,RiPP-like,RiPP,FAM_00240
MAG00126,MAG00126_0020,MAG00126_0020.region001,RiPP-like,RiPP,FAM_00094
MAG00126,MAG00126_0051,MAG00126_0051.region001,RiPP-like,RiPP,FAM_00090
MAG00126,MAG00126_0062,MAG00126_0062.region001,RiPP-like,RiPP,FAM_00087
MAG00127,MAG00127_0008,MAG00127_0008.region001,ranthipeptide,RiPP,FAM_00123
MAG00128,MAG00128_0002,MAG00128_0002.region001,ranthipeptide,RiPP,FAM_00112
MAG00128,MAG00128_0006,MAG00128_0006.region001,RaS-RiPP,RiPP,FAM_00226
MAG00132,MAG00132_0196,MAG00132_0196.region001,resorcinol,other,FAM_00053
MAG00133,MAG00133_0040,MAG00133_0040.region001,T3PKS,PKS,FAM_00084
MAG00134,MAG00134_0007,MAG00134_0007.region001,RiPP-like,RiPP,FAM_00169
MAG00134,MAG00134_0010,MAG00134_0010.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00137,MAG00137_0064,MAG00137_0064.region001,RRE-containing,RiPP,FAM_00044
MAG00139,MAG00139_0002,MAG00139_0002.region001,T3PKS,PKS,FAM_00012
MAG00139,MAG00139_0009,MAG00139_0009.region001,NRPS-like,NRPS,FAM_00006
MAG00140,MAG00140_0005,MAG00140_0005.region001,RRE-containing,RiPP,FAM_00346
MAG00141,MAG00141_0008,MAG00141_0008.region001,ranthipeptide,RiPP,FAM_00106
MAG00142,MAG00142_0009,MAG00142_0009.region001,T3PKS,PKS,FAM_00011
MAG00142,MAG00142_0106,MAG00142_0106.region001,NRPS-like,NRPS,FAM_00004
MAG00145,MAG00145_0012,MAG00145_0012.region001,T3PKS,PKS,FAM_00015
MAG00145,MAG00145_0034,MAG00145_0034.region001,NRPS-like,NRPS,FAM_00006
MAG00146,MAG00146_0020,MAG00146_0020.region001,ranthipeptide,RiPP,FAM_00123
MAG00148,MAG00148_0070,MAG00148_0070.region001,T3PKS,PKS,FAM_00078
MAG00149,MAG00149_0007,MAG00149_0007.region001,RiPP-like,RiPP,FAM_00169
MAG00149,MAG00149_0019,MAG00149_0019.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00150,MAG00150_0151,MAG00150_0151.region001,T3PKS,PKS,FAM_00084
MAG00151,MAG00151_0058,MAG00151_0058.region001,ranthipeptide,RiPP,FAM_00110
MAG00154,MAG00154_0004,MAG00154_0004.region001,ranthipeptide,RiPP,FAM_00112
MAG00154,MAG00154_0042,MAG00154_0042.region001,RaS-RiPP,RiPP,FAM_00226
MAG00156,MAG00156_0001,MAG00156_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00156,MAG00156_0001,MAG00156_0001.region002,RiPP-like,RiPP,FAM_00195
MAG00157,MAG00157_0008,MAG00157_0008.region001,RiPP-like,RiPP,FAM_00172
MAG00157,MAG00157_0012,MAG00157_0012.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00157,MAG00157_0014,MAG00157_0014.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00158,MAG00158_0002,MAG00158_0002.region001,RRE-containing,RiPP,FAM_00044
MAG00159,MAG00159_0004,MAG00159_0004.region001,RiPP-like,RiPP,FAM_00375
MAG00160,MAG00160_0001,MAG00160_0001.region001,ranthipeptide,RiPP,FAM_00106
MAG00161,MAG00161_0001,MAG00161_0001.region001,ranthipeptide,RiPP,FAM_00112
MAG00161,MAG00161_0003,MAG00161_0003.region001,RaS-RiPP,RiPP,FAM_00226
MAG00164,MAG00164_0017,MAG00164_0017.region001,RRE-containing,RiPP,FAM_00036
MAG00166,MAG00166_0014,MAG00166_0014.region001,ranthipeptide,RiPP,FAM_00123
MAG00169,MAG00169_0011,MAG00169_0011.region001,ranthipeptide,RiPP,FAM_00134
MAG00170,MAG00170_0064,MAG00170_0064.region001,T3PKS,PKS,FAM_00080
MAG00171,MAG00171_0001,MAG00171_0001.region001,NRPS-like,NRPS,FAM_00004
MAG00171,MAG00171_0033,MAG00171_0033.region001,T3PKS,PKS,FAM_00011
MAG00174,MAG00174_0003,MAG00174_0003.region001,ranthipeptide,RiPP,FAM_00128
MAG00174,MAG00174_0017,MAG00174_0017.region001,NRPS-like,NRPS,FAM_00379
MAG00174,MAG00174_0030,MAG00174_0030.region001,RiPP-like,RiPP,FAM_00007
MAG00176,MAG00176_0025,MAG00176_0025.region001,ranthipeptide,RiPP,FAM_00152
MAG00177,MAG00177_0014,MAG00177_0014.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00178,MAG00178_0001,MAG00178_0001.region001,T3PKS,PKS,FAM_00084
MAG00179,MAG00179_0053,MAG00179_0053.region001,resorcinol,other,FAM_00042
MAG00180,MAG00180_0005,MAG00180_0005.region001,RRE-containing,RiPP,FAM_00346
MAG00182,MAG00182_0019,MAG00182_0019.region001,ranthipeptide,RiPP,FAM_00109
MAG00183,MAG00183_0001,MAG00183_0001.region001,RRE-containing,RiPP,FAM_00039
MAG00183,MAG00183_0003,MAG00183_0003.region001,arylpolyene,PKS,FAM_00018
MAG00183,MAG00183_0017,MAG00183_0017.region001,arylpolyene,PKS,FAM_00017
MAG00185,MAG00185_0018,MAG00185_0018.region001,ranthipeptide,RiPP,FAM_00125
MAG00186,MAG00186_0030,MAG00186_0030.region001,ranthipeptide,RiPP,FAM_00135
MAG00188,MAG00188_0002,MAG00188_0002.region001,RiPP-like,RiPP,FAM_00240
MAG00188,MAG00188_0116,MAG00188_0116.region001,RiPP-like,RiPP,FAM_00094
MAG00189,MAG00189_0001,MAG00189_0001.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00189,MAG00189_0001,MAG00189_0001.region002,RiPP-like,RiPP,FAM_00195
MAG00194,MAG00194_0022,MAG00194_0022.region001,T3PKS,PKS,FAM_00074
MAG00195,MAG00195_0002,MAG00195_0002.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00195,MAG00195_0017,MAG00195_0017.region001,lanthipeptide-class-ii,RiPP,FAM_00174
MAG00195,MAG00195_0018,MAG00195_0018.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00196,MAG00196_0003,MAG00196_0003.region001,NRPS,NRPS,FAM_00165
MAG00198,MAG00198_0009,MAG00198_0009.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00198,MAG00198_0013,MAG00198_0013.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00204,MAG00204_0005,MAG00204_0005.region001,NRPS,NRPS,FAM_00165
MAG00205,MAG00205_0008,MAG00205_0008.region001,RiPP-like,RiPP,FAM_00169
MAG00206,MAG00206_0023,MAG00206_0023.region001,ranthipeptide,RiPP,FAM_00106
MAG00207,MAG00207_0011,MAG00207_0011.region001,thiopeptide,RiPP,FAM_00341
MAG00207,MAG00207_0013,MAG00207_0013.region001,NRP-metallophore.NRPS,NRPS,FAM_00351
MAG00207,MAG00207_0076,MAG00207_0076.region001,NI-siderophore,other,FAM_00408
MAG00208,MAG00208_0011,MAG00208_0011.region001,NI-siderophore,other,FAM_00298
MAG00208,MAG00208_0025,MAG00208_0025.region001,NRPS,NRPS,FAM_00424
MAG00208,MAG00208_0029,MAG00208_0029.region001,opine-like-metallophore,other,FAM_00224
MAG00208,MAG00208_0031,MAG00208_0031.region001,T3PKS,PKS,FAM_00425
MAG00208,MAG00208_0032,MAG00208_0032.region001,NI-siderophore,other,FAM_00377
MAG00208,MAG00208_0056,MAG00208_0056.region001,cyclic-lactone-autoinducer,RiPP,FAM_00435
MAG00208,MAG00208_0094,MAG00208_0094.region001,terpene,terpene,FAM_00425
MAG00209,MAG00209_0002,MAG00209_0002.region001,NRP-metallophore.NRPS,NRPS,FAM_00351
MAG00209,MAG00209_0044,MAG00209_0044.region001,thiopeptide,RiPP,FAM_00341
MAG00212,MAG00212_0002,MAG00212_0002.region001,T3PKS,PKS,FAM_00506
MAG00212,MAG00212_0003,MAG00212_0003.region001,LAP,RiPP,FAM_00295
MAG00212,MAG00212_0031,MAG00212_0031.region001,cyclic-lactone-autoinducer,RiPP,FAM_00463
MAG00214,MAG00214_0177,MAG00214_0177.region001,T3PKS,PKS,FAM_00189
MAG00215,MAG00215_0006,MAG00215_0006.region001,RiPP-like,RiPP,FAM_00194
MAG00215,MAG00215_0009,MAG00215_0009.region001,lanthipeptide-class-ii,RiPP,FAM_00281
MAG00217,MAG00217_0001,MAG00217_0001.region001,RiPP-like,RiPP,FAM_00169
MAG00217,MAG00217_0012,MAG00217_0012.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00219,MAG00219_0002,MAG00219_0002.region001,NRPS,NRPS,FAM_00349
MAG00219,MAG00219_0014,MAG00219_0014.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00220,MAG00220_0021,MAG00220_0021.region001,NRPS,NRPS,FAM_00165
MAG00220,MAG00220_0052,MAG00220_0052.region001,lanthipeptide-class-ii,RiPP,FAM_00173
MAG00221,MAG00221_0006,MAG00221_0006.region001,RiPP-like,RiPP,FAM_00169
MAG00221,MAG00221_0027,MAG00221_0027.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00223,MAG00223_0002,MAG00223_0002.region001,RiPP-like,RiPP,FAM_00169
MAG00223,MAG00223_0002,MAG00223_0002.region002,lanthipeptide-class-v,RiPP,FAM_00179
MAG00223,MAG00223_0018,MAG00223_0018.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00225,MAG00225_0008,MAG00225_0008.region001,RiPP-like,RiPP,FAM_00169
MAG00225,MAG00225_0016,MAG00225_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00226,MAG00226_0003,MAG00226_0003.region001,T3PKS,PKS,FAM_00084
MAG00228,MAG00228_0003,MAG00228_0003.region001,RiPP-like,RiPP,FAM_00169
MAG00228,MAG00228_0016,MAG00228_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00233,MAG00233_0053,MAG00233_0053.region001,ranthipeptide,RiPP,FAM_00111
MAG00234,MAG00234_0002,MAG00234_0002.region001,NRPS-like,NRPS,FAM_00006
MAG00234,MAG00234_0004,MAG00234_0004.region001,T3PKS,PKS,FAM_00009
MAG00237,MAG00237_0037,MAG00237_0037.region001,resorcinol,other,FAM_00051
MAG00237,MAG00237_0047,MAG00237_0047.region001,LAP.thiopeptide,RiPP,FAM_00050
MAG00237,MAG00237_0054,MAG00237_0054.region001,arylpolyene,PKS,FAM_00021
MAG00237,MAG00237_0089,MAG00237_0089.region001,RRE-containing,RiPP,FAM_00034
MAG00237,MAG00237_0097,MAG00237_0097.region001,arylpolyene,PKS,FAM_00020
MAG00238,MAG00238_0005,MAG00238_0005.region001,NRPS,NRPS,FAM_00389
MAG00238,MAG00238_0006,MAG00238_0006.region001,RiPP-like,RiPP,FAM_00182
MAG00238,MAG00238_0006,MAG00238_0006.region002,LAP.thiopeptide,RiPP,FAM_00289
MAG00238,MAG00238_0019,MAG00238_0019.region001,ranthipeptide,RiPP,FAM_00121
MAG00240,MAG00240_0012,MAG00240_0012.region001,RiPP-like,RiPP,FAM_00264
MAG00241,MAG00241_0001,MAG00241_0001.region001,RRE-containing,RiPP,FAM_00038
MAG00241,MAG00241_0061,MAG00241_0061.region001,arylpolyene,PKS,FAM_00017
MAG00243,MAG00243_0017,MAG00243_0017.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00244,MAG00244_0001,MAG00244_0001.region001,RiPP-like,RiPP,FAM_00261
MAG00244,MAG00244_0005,MAG00244_0005.region001,ranthipeptide,RiPP,FAM_00113
MAG00244,MAG00244_0007,MAG00244_0007.region001,RRE-containing,RiPP,FAM_00404
MAG00244,MAG00244_0008,MAG00244_0008.region001,ranthipeptide,RiPP,FAM_00432
MAG00244,MAG00244_0014,MAG00244_0014.region001,ranthipeptide,RiPP,FAM_00388
MAG00245,MAG00245_0059,MAG00245_0059.region001,RRE-containing,RiPP,FAM_00163
MAG00246,MAG00246_0080,MAG00246_0080.region001,ranthipeptide,RiPP,FAM_00134
MAG00248,MAG00248_0001,MAG00248_0001.region001,NRPS-like,NRPS,FAM_00001
MAG00248,MAG00248_0030,MAG00248_0030.region001,lanthipeptide-class-iii,RiPP,FAM_00252
MAG00248,MAG00248_0033,MAG00248_0033.region001,T3PKS,PKS,FAM_00011
MAG00249,MAG00249_0008,MAG00249_0008.region001,ranthipeptide,RiPP,FAM_00123
MAG00250,MAG00250_0009,MAG00250_0009.region001,ranthipeptide,RiPP,FAM_00106
MAG00251,MAG00251_0005,MAG00251_0005.region001,ranthipeptide,RiPP,FAM_00136
MAG00252,MAG00252_0005,MAG00252_0005.region001,ranthipeptide,RiPP,FAM_00112
MAG00252,MAG00252_0031,MAG00252_0031.region001,RaS-RiPP,RiPP,FAM_00226
MAG00255,MAG00255_0001,MAG00255_0001.region001,RRE-containing,RiPP,FAM_00034
MAG00255,MAG00255_0028,MAG00255_0028.region001,arylpolyene,PKS,FAM_00020
MAG00256,MAG00256_0005,MAG00256_0005.region001,lanthipeptide-class-v,RiPP,FAM_00179
MAG00256,MAG00256_0007,MAG00256_0007.region001,RiPP-like,RiPP,FAM_00169
MAG00256,MAG00256_0016,MAG00256_0016.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00256,MAG00256_0023,MAG00256_0023.region001,lanthipeptide-class-ii,RiPP,FAM_00175
MAG00259,MAG00259_0003,MAG00259_0003.region001,lanthipeptide-class-iii,RiPP,FAM_00467
MAG00261,MAG00261_0034,MAG00261_0034.region001,ranthipeptide,RiPP,FAM_00106
MAG00262,MAG00262_0001,MAG00262_0001.region001,arylpolyene,PKS,FAM_00031
MAG00262,MAG00262_0003,MAG00262_0003.region001,arylpolyene,PKS,FAM_00024
MAG00262,MAG00262_0006,MAG00262_0006.region001,RRE-containing,RiPP,FAM_00039
MAG00262,MAG00262_0007,MAG00262_0007.region001,LAP.thiopeptide,RiPP,FAM_00032
MAG00264,MAG00264_0017,MAG00264_0017.region001,RiPP-like,RiPP,FAM_00240
MAG00264,MAG00264_0023,MAG00264_0023.region001,RiPP-like,RiPP,FAM_00094
MAG00264,MAG00264_0040,MAG00264_0040.region001,RiPP-like,RiPP,FAM_00090
MAG00264,MAG00264_0106,MAG00264_0106.region001,RiPP-like,RiPP,FAM_00101
MAG00264,MAG00264_0107,MAG00264_0107.region001,RiPP-like,RiPP,FAM_00087
MAG00265,MAG00265_0017,MAG00265_0017.region001,lanthipeptide-class-iii,RiPP,FAM_00180
MAG00269,MAG00269_0048,MAG00269_0048.region001,cyclic-lactone-autoinducer,RiPP,FAM_00463
MAG00269,MAG00269_0052,MAG00269_0052.region001,T3PKS,PKS,FAM_00506
