sequence,region,type,From_To,most_similar_known_cluster,most_similar_known_cluster_type,similarity,BGC
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,qinichelins,NRP,11,BGC0001752
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,albachelin,NRP,20,BGC0001211
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,vanchrobactin,NRP,20,BGC0000454
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,vibriobactin,NRP,18,BGC0002494
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,parabactin,NRP,50,BGC0002493
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,cahuitamycin A/cahuitamycin B/cahuitamycin C,NRP,8,BGC0001351
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,amychelin A/amychelin B,NRP,11,BGC0002544
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,madurastatin D1/madurastatin D2/(-)-Madurastatin C1,NRP,2,BGC0002686
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,peucechelin,NRP,10,BGC0002466
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,salinichelins,NRP,15,BGC0001767
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,vanchrobactin/trivanchrobactin/divanchrobactin,NRP,28,BGC0002415
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,scabichelin,NRP,20,BGC0000423
MAG00103_0022,22.1,"['NRP-metallophore', 'NRPS']",30279_70277,gobichelin A/gobichelin B,NRP,11,BGC0000366
MAG00105_0025,25.1,['opine-like-metallophore'],1_21605,staphylopine,Other,100,BGC0002487
MAG00105_0025,25.1,['opine-like-metallophore'],1_21605,bacillopaline,Other,75,BGC0002488
MAG00105_0037,37.1,['NI-siderophore'],853_18867,staphyloferrin A,Other:Non-NRP siderophore,100,BGC0000944
MAG00105_0044,44.1,['NI-siderophore'],862_15933,,,,
MAG00105_0059,59.1,['NI-siderophore'],1_11927,staphyloferrin B,Other,83,BGC0000943
MAG00105_0081,81.1,['NRPS-like'],1_10379,aureusimine A/aureusimine B/aureusimine C,NRP,100,BGC0000308
MAG00105_0084,84.1,['NRPS'],1_9963,,,,
MAG00105_0100,100.1,['LAP'],1_9107,listeriolysin S,RiPP:LAP,87,BGC0001171
MAG00105_0116,116.1,['terpene'],1_8290,,,,
MAG00105_0150,150.1,['T3PKS'],1_6744,,,,
