MAG,contig_id,region,GBK,From_To,Length,type,most_similar_known_cluster,most_similar_known_cluster_type,similarity,classification,FinalTaxonomy,Genus
MAG00035,MAG00035_0089,89.1,MAG00035_0089.region001,1_6689,6688,RRE-containing,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas sp001552895,Parvimonas_sp001552895,Parvimonas
MAG00037,MAG00037_0020,20.1,MAG00037_0020.region001,210_15349,15139,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__Fenollaria massiliensis,Fenollaria_massiliensis,Fenollaria
MAG00038,MAG00038_0002,2.1,MAG00038_0002.region001,18761_38907,20146,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515,KA00274_sp902373515,KA00274
MAG00038,MAG00038_0004,4.1,MAG00038_0004.region001,89295_114518,25223,RaS-RiPP,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp902373515,KA00274_sp902373515,KA00274
MAG00039,MAG00039_0431,431.1,MAG00039_0431.region001,1_1551,1550,RRE-containing,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens,Prevotella_disiens,Prevotella
MAG00041,MAG00041_0002,2.1,MAG00041_0002.region001,123795_165102,41307,T3PKS,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,Gardnerella_vaginalis,Bifidobacterium
MAG00044,MAG00044_0002,2.1,MAG00044_0002.region001,11966_62618,50652,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00044,MAG00044_0005,5.1,MAG00044_0005.region001,55562_79343,23781,lanthipeptide-class-v,TP-1161,RiPP:Thiopeptide,8.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00046,MAG00046_0061,61.1,MAG00046_0061.region001,1_5462,5461,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister micraerophilus,Dialister_micraerophilus,Dialister
MAG00051,MAG00051_0109,109.1,MAG00051_0109.region001,1_2808,2807,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris,Lactobacillus_mulieris,Lactobacillus
MAG00052,MAG00052_0017,17.1,MAG00052_0017.region001,1_10544,10543,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00053,MAG00053_0029,29.1,MAG00053_0029.region001,1_18873,18872,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii,Lactobacillus_jensenii,Lactobacillus
MAG00054,MAG00054_0005,5.1,MAG00054_0005.region001,20931_31866,10935,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00054,MAG00054_0008,8.1,MAG00054_0008.region001,23550_38960,15410,RiPP-like,gassericin T,RiPP,44.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00054,MAG00054_0026,26.1,MAG00054_0026.region001,20580_27517,6937,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00056,MAG00056_0074,74.1,MAG00056_0074.region001,1_5245,5244,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355,Dialister_sp001553355,Dialister
MAG00057,MAG00057_0001,1.1,MAG00057_0001.region001,263095_273376,10281,RiPP-like,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes,Cutibacterium_acnes,Cutibacterium
MAG00057,MAG00057_0001,1.2,MAG00057_0001.region002,748629_793687,45058,"NRPS-like, NRPS",sulfazecin,NRP,11.0,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes,Cutibacterium_acnes,Cutibacterium
MAG00058,MAG00058_0018,18.1,MAG00058_0018.region001,1_20243,20242,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,Megasphaera_lornae,Megasphaera
MAG00061,MAG00061_0002,2.1,MAG00061_0002.region001,1_63503,63502,"NRP-metallophore, NRPS",,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00061,MAG00061_0011,11.1,MAG00061_0011.region001,44198_59347,15149,ranthipeptide,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00061,MAG00061_0031,31.1,MAG00061_0031.region001,4229_13255,9026,RiPP-like,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00061,MAG00061_0034,34.1,MAG00061_0034.region001,1_8591,8590,RiPP-like,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00061,MAG00061_0035,35.1,MAG00061_0035.region001,1_10093,10092,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00061,MAG00061_0039,39.1,MAG00061_0039.region001,1_7820,7819,LAP,,,,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA629;s__UBA629 sp005465875,UBA629_sp005465875,UBA629
MAG00062,MAG00062_0018,18.1,MAG00062_0018.region001,18750_25246,6496,RiPP-like,gassericin T,RiPP,33.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00062,MAG00062_0113,113.1,MAG00062_0113.region001,1_5578,5577,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00062,MAG00062_0125,125.1,MAG00062_0125.region001,1_4087,4086,RiPP-like,gassericin T,RiPP,22.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00064,MAG00064_0010,10.1,MAG00064_0010.region001,22366_37847,15481,RiPP-like,gassericin T,RiPP,44.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus,Lactobacillus_amylovorus,Lactobacillus
MAG00064,MAG00064_0015,15.1,MAG00064_0015.region001,235_11317,11082,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus,Lactobacillus_amylovorus,Lactobacillus
MAG00064,MAG00064_0055,55.1,MAG00064_0055.region001,1_10684,10683,lanthipeptide-class-i,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus,Lactobacillus_amylovorus,Lactobacillus
MAG00065,MAG00065_0003,3.1,MAG00065_0003.region001,28355_51060,22705,lanthipeptide-class-ii,ruminococcin A,RiPP:Lanthipeptide,28.0,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00065,MAG00065_0007,7.1,MAG00065_0007.region001,30821_41693,10872,RiPP-like,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00068,MAG00068_0013,13.1,MAG00068_0013.region001,15855_26790,10935,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00068,MAG00068_0021,21.1,MAG00068_0021.region001,1_6497,6496,RiPP-like,gassericin T,RiPP,33.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00068,MAG00068_0038,38.1,MAG00068_0038.region001,1_8521,8520,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00068,MAG00068_0132,132.1,MAG00068_0132.region001,1_5750,5749,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00070,MAG00070_0001,1.1,MAG00070_0001.region001,54927_77632,22705,lanthipeptide-class-ii,ruminococcin A,RiPP:Lanthipeptide,28.0,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00071,MAG00071_0039,39.1,MAG00071_0039.region001,10183_18206,8023,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__,Lactobacillus_kitasatonis,Lactobacillus
MAG00072,MAG00072_0013,13.1,MAG00072_0013.region001,4497_38274,33777,NRPS,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus mulieris,Lactobacillus_mulieris,Lactobacillus
MAG00073,MAG00073_0002,2.1,MAG00073_0002.region001,14129_25064,10935,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00073,MAG00073_0036,36.1,MAG00073_0036.region001,11922_19517,7595,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00073,MAG00073_0088,88.1,MAG00073_0088.region001,1_6569,6568,RiPP-like,gassericin T,RiPP,33.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00073,MAG00073_0108,108.1,MAG00073_0108.region001,1_5583,5582,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00076,MAG00076_0021,21.1,MAG00076_0021.region001,1_22318,22317,T3PKS,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale,Gardnerella_vaginalis,Bifidobacterium
MAG00080,MAG00080_0001,1.1,MAG00080_0001.region001,127187_169051,41864,lanthipeptide-class-v,TP-1161,RiPP:Thiopeptide,8.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00080,MAG00080_0009,9.1,MAG00080_0009.region001,1_10545,10544,lanthipeptide-class-iii,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners,Lactobacillus_iners,Lactobacillus
MAG00081,MAG00081_0006,6.1,MAG00081_0006.region001,1_10331,10330,RRE-containing,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,Megasphaera_lornae,Megasphaera
MAG00081,MAG00081_0006,6.2,MAG00081_0006.region002,43785_61868,18083,ranthipeptide,,,,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae,Megasphaera_lornae,Megasphaera
MAG00083,MAG00083_0001,1.1,MAG00083_0001.region001,97514_120219,22705,lanthipeptide-class-ii,ruminococcin A,RiPP:Lanthipeptide,28.0,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00083,MAG00083_0018,18.1,MAG00083_0018.region001,2391_13653,11262,RiPP-like,,,,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii,Gardnerella_swidsinkii,Bifidobacterium
MAG00085,MAG00085_0008,8.1,MAG00085_0008.region001,20932_31867,10935,RiPP-like,,,,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
MAG00085,MAG00085_0023,23.1,MAG00085_0023.region001,1_6497,6496,RiPP-like,gassericin T,RiPP,33.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus,Lactobacillus_crispatus,Lactobacillus
